Socket:
2	8.44e-07	8.37e-07	8.54e-07	8.77e-07	8.73e-07	8.89e-07	8.84e-07	8.88e-07	
4	9.22e-07	9.58e-07	9.73e-07	9.78e-07	9.76e-07	1.01e-06	9.91e-07	9.85e-07	
8	9.14e-07	9.14e-07	9.23e-07	9.33e-07	9.40e-07	9.43e-07	9.42e-07	9.47e-07	
16	9.53e-07	9.45e-07	9.58e-07	9.79e-07	9.82e-07	9.78e-07	9.81e-07	9.79e-07	
32	9.39e-07	9.81e-07	9.95e-07	1.02e-06	1.02e-06	1.02e-06	1.04e-06	1.03e-06	
64	1.07e-06	1.08e-06	1.11e-06	1.11e-06	1.12e-06	1.12e-06	1.15e-06	1.16e-06	
128	1.26e-06	1.29e-06	1.31e-06	1.34e-06	1.34e-06	1.34e-06	1.35e-06	1.35e-06	
256	1.59e-06	1.62e-06	1.65e-06	1.69e-06	1.75e-06	1.76e-06	1.74e-06	1.76e-06	
512	2.16e-06	2.23e-06	2.37e-06	2.39e-06	2.75e-06	2.74e-06	2.74e-06	2.75e-06	
1024	3.31e-06	3.35e-06	3.51e-06	3.54e-06	4.12e-06	4.12e-06	4.12e-06	4.12e-06	
2048	5.60e-06	5.73e-06	5.91e-06	5.96e-06	6.11e-06	6.09e-06	6.11e-06	6.09e-06	
4096	8.23e-06	8.50e-06	8.84e-06	9.03e-06	8.99e-06	9.02e-06	9.03e-06	9.05e-06	
8192	1.30e-05	1.34e-05	1.36e-05	1.38e-05	1.38e-05	1.38e-05	1.39e-05	1.39e-05	
16384	2.29e-05	2.44e-05	2.39e-05	2.49e-05	2.55e-05	2.35e-05	2.52e-05	2.54e-05	
32768	4.31e-05	4.41e-05	4.47e-05	4.53e-05	4.72e-05	4.53e-05	4.51e-05	4.71e-05	
65536	8.29e-05	8.66e-05	8.60e-05	8.87e-05	8.74e-05	8.80e-05	8.85e-05	8.87e-05	
1	7.65e-07	8.00e-07	8.11e-07	8.33e-07	8.32e-07	8.28e-07	8.42e-07	8.35e-07	
2	8.03e-07	8.42e-07	8.39e-07	8.51e-07	8.47e-07	8.68e-07	8.52e-07	8.73e-07	
4	9.04e-07	9.42e-07	9.67e-07	9.76e-07	9.67e-07	9.89e-07	9.73e-07	9.78e-07	
8	8.87e-07	8.94e-07	9.10e-07	9.28e-07	9.28e-07	9.46e-07	9.50e-07	9.31e-07	
16	9.17e-07	9.39e-07	9.47e-07	9.59e-07	9.51e-07	9.83e-07	9.85e-07	9.86e-07	
32	9.34e-07	9.87e-07	9.98e-07	1.02e-06	1.01e-06	1.03e-06	1.05e-06	1.04e-06	
64	1.03e-06	1.09e-06	1.11e-06	1.11e-06	1.12e-06	1.12e-06	1.15e-06	1.13e-06	
128	1.28e-06	1.28e-06	1.32e-06	1.34e-06	1.34e-06	1.34e-06	1.37e-06	1.37e-06	
256	1.61e-06	1.63e-06	1.71e-06	1.73e-06	1.72e-06	1.74e-06	1.72e-06	1.74e-06	
512	2.23e-06	2.29e-06	2.48e-06	2.51e-06	2.51e-06	2.50e-06	2.51e-06	2.51e-06	
1024	3.28e-06	3.38e-06	3.49e-06	3.53e-06	3.53e-06	3.53e-06	3.54e-06	3.54e-06	
2048	5.58e-06	5.79e-06	5.89e-06	5.98e-06	5.96e-06	5.95e-06	5.96e-06	5.97e-06	
4096	8.15e-06	8.43e-06	8.70e-06	8.83e-06	8.83e-06	8.83e-06	8.80e-06	8.85e-06	
8192	1.30e-05	1.34e-05	1.36e-05	1.38e-05	1.38e-05	1.38e-05	1.38e-05	1.39e-05	
16384	2.30e-05	2.40e-05	2.42e-05	2.45e-05	2.54e-05	2.34e-05	2.51e-05	2.48e-05	
32768	4.43e-05	4.50e-05	4.51e-05	4.56e-05	4.52e-05	4.74e-05	4.53e-05	4.54e-05	
65536	8.49e-05	8.52e-05	8.63e-05	8.89e-05	8.87e-05	8.67e-05	8.86e-05	8.85e-05	


Node:
1	1.45e-06	1.51e-06	1.51e-06	1.53e-06	1.52e-06	1.55e-06	1.55e-06	1.56e-06	
2	1.46e-06	1.52e-06	1.54e-06	1.53e-06	1.57e-06	1.56e-06	1.57e-06	1.58e-06	
4	1.84e-06	1.87e-06	1.86e-06	1.88e-06	1.92e-06	1.92e-06	1.96e-06	1.95e-06	
8	1.80e-06	1.75e-06	1.83e-06	1.83e-06	1.82e-06	1.84e-06	1.87e-06	1.87e-06	
16	2.22e-06	2.17e-06	2.28e-06	2.21e-06	2.31e-06	2.32e-06	2.35e-06	2.36e-06	
32	2.23e-06	2.06e-06	2.28e-06	2.12e-06	2.33e-06	2.22e-06	2.40e-06	2.33e-06	
64	2.19e-06	2.22e-06	2.34e-06	2.39e-06	2.66e-06	2.84e-06	3.06e-06	3.22e-06	
128	2.57e-06	2.70e-06	2.86e-06	3.07e-06	3.39e-06	3.59e-06	3.94e-06	4.26e-06	
256	3.36e-06	3.48e-06	3.81e-06	4.08e-06	4.47e-06	4.98e-06	5.61e-06	6.17e-06	
512	4.38e-06	4.63e-06	5.19e-06	5.77e-06	6.77e-06	7.87e-06	8.93e-06	9.91e-06	
1024	6.77e-06	7.22e-06	8.26e-06	9.03e-06	1.09e-05	1.27e-05	1.46e-05	1.62e-05	
2048	6.48e-06	8.78e-06	8.81e-06	8.88e-06	8.91e-06	9.01e-06	9.05e-06	9.13e-06	
